feature,corr_isFraud,abs_corr
V257,0.38305975102060325,0.38305975102060325
V246,0.36687769909837314,0.36687769909837314
V244,0.3641291589611918,0.3641291589611918
V242,0.3605904902659587,0.3605904902659587
V201,0.32800503459815467,0.32800503459815467
V200,0.31878251405844465,0.31878251405844465
V189,0.3082194603691245,0.3082194603691245
V188,0.30358227133771837,0.30358227133771837
V258,0.2971514979896374,0.2971514979896374
V45,0.28183194637643183,0.28183194637643183
V158,0.27806624478809905,0.27806624478809905
V156,0.27595208951457345,0.27595208951457345
V149,0.2732821052990539,0.2732821052990539
V228,0.26886098278184145,0.26886098278184145
V44,0.26037616734620056,0.26037616734620056
V86,0.25182798642395604,0.25182798642395604
V87,0.2517374422127152,0.2517374422127152
V170,0.24979447724564646,0.24979447724564646
V147,0.24289437453977203,0.24289437453977203
V52,0.23946916785412112,0.23946916785412112
V157,0.2348663695600232,0.2348663695600232
V155,0.23419901739686813,0.23419901739686813
V230,0.23173981248706288,0.23173981248706288
V199,0.23102431150770475,0.23102431150770475
V148,0.2288910411479469,0.2288910411479469
V51,0.2231911021665836,0.2231911021665836
V171,0.2165084943537856,0.2165084943537856
V40,0.2124418297830171,0.2124418297830171
V243,0.2102381847595796,0.2102381847595796
V154,0.20695843357229965,0.20695843357229965
V190,0.2051483549916032,0.2051483549916032
V39,0.2030965290784297,0.2030965290784297
V38,0.1990045102987004,0.1990045102987004
V146,0.19858410836535845,0.19858410836535845
V43,0.19827388575876895,0.19827388575876895
V140,0.19693821962354174,0.19693821962354174
V79,0.19414094448022945,0.19414094448022945
V42,0.18942828273161574,0.18942828273161574
V94,0.18840709497742583,0.18840709497742583
V74,0.18591509316376267,0.18591509316376267
V33,0.1834861890616319,0.1834861890616319
V153,0.18311384057258392,0.18311384057258392
V17,0.1826726226615447,0.1826726226615447
V18,0.18254989816550787,0.18254989816550787
V81,0.18237723430444897,0.18237723430444897
V93,0.1809831566420043,0.1809831566420043
V92,0.18051313293680857,0.18051313293680857
V34,0.18030059415433486,0.18030059415433486
V80,0.18029947217066564,0.18029947217066564
V50,0.17995328566603047,0.17995328566603047
V247,0.1797106997798414,0.1797106997798414
V15,0.17796304981317498,0.17796304981317498
V37,0.1769468459121991,0.1769468459121991
V16,0.17431823036773492,0.17431823036773492
V73,0.17387006465051796,0.17387006465051796
V58,0.17306531089992758,0.17306531089992758
V84,0.16911015898483817,0.16911015898483817
V57,0.16888690850682528,0.16888690850682528
V85,0.16883986941250628,0.16883986941250628
V222,0.16638276427445306,0.16638276427445306
V21,0.16598476139524873,0.16598476139524873
V176,0.16434304217518048,0.16434304217518048
V47,0.16411406343502483,0.16411406343502483
V31,0.16316648223856742,0.16316648223856742
V72,0.16095093557360626,0.16095093557360626
V32,0.1601971312110694,0.1601971312110694
V22,0.15881448337431514,0.15881448337431514
V77,0.15838120990922072,0.15838120990922072
V71,0.15684043831029468,0.15684043831029468
card3,0.15415133308432788,0.15415133308432788
V197,0.1539837315440277,0.1539837315440277
V252,0.1533640004866985,0.1533640004866985
V63,0.15335271668670108,0.15335271668670108
V259,0.15163812747111624,0.15163812747111624
V59,0.15106152341152773,0.15106152341152773
V60,0.15095177763742293,0.15095177763742293
V78,0.1504245721250919,0.1504245721250919
V64,0.15037073026785597,0.15037073026785597
V262,0.15033842322934066,0.15033842322934066
id_17,0.1501004599249427,0.1501004599249427
V23,0.1494077737153315,0.1494077737153315
V186,0.1489080729313893,0.1489080729313893
V139,0.14759400119744814,0.14759400119744814
V194,0.14720391150912318,0.14720391150912318
V195,0.1470517158710872,0.1470517158710872
D8,-0.14263641015850023,0.14263641015850023
V239,0.1413945261994241,0.1413945261994241
V198,0.13990292115480685,0.13990292115480685
V123,0.13822165473301318,0.13822165473301318
V229,0.1372254596494378,0.1372254596494378
V302,0.13290347239519218,0.13290347239519218
V221,0.13254518577822696,0.13254518577822696
V304,0.1314979182762188,0.1314979182762188
D7,-0.12719850708196523,0.12719850708196523
V46,0.12599085488591721,0.12599085488591721
V260,0.12488856705074161,0.12488856705074161
V303,0.12428666375043991,0.12428666375043991
V24,0.12382430317338895,0.12382430317338895
V111,0.12160956073759907,0.12160956073759907
V184,0.12139441667120289,0.12139441667120289
id_01,-0.12009888526804485,0.12009888526804485
id_22,0.11840860174814617,0.11840860174814617
V238,0.11751178294587857,0.11751178294587857
V113,0.11597582692795115,0.11597582692795115
V48,-0.11578587857757673,0.11578587857757673
V249,0.11388722359124442,0.11388722359124442
V283,0.11273124389389887,0.11273124389389887
V125,0.1119990195286183,0.1119990195286183
V49,-0.11092009108453531,0.11092009108453531
V90,-0.11016802850924905,0.11016802850924905
V185,0.10924541325577185,0.10924541325577185
V29,-0.10785177266358228,0.10785177266358228
V91,-0.1054530170536116,0.1054530170536116
V112,0.1052120999322388,0.1052120999322388
V261,0.10478494260852955,0.10478494260852955
V69,-0.10452063087877919,0.10452063087877919
V282,0.10412294409398741,0.10412294409398741
V30,-0.10308792418959038,0.10308792418959038
V70,-0.10089993699583437,0.10089993699583437
id_26,0.09958696595064652,0.09958696595064652
V108,0.09679437359913903,0.09679437359913903
V114,0.09608600001674465,0.09608600001674465
V245,0.0913196967239914,0.0913196967239914
V141,0.08562757438174146,0.08562757438174146
id_07,-0.0847678596579284,0.0847678596579284
D2,-0.08358321970827089,0.08358321970827089
V110,0.08162973964551995,0.08162973964551995
V116,0.08064377871984142,0.08064377871984142
V142,0.08041082180216956,0.08041082180216956
V248,0.07851776676735504,0.07851776676735504
D15,-0.07751940067231596,0.07751940067231596
V35,-0.07711565286473053,0.07711565286473053
V124,0.07672122015707387,0.07672122015707387
V220,0.07661637397883446,0.07661637397883446
V67,0.07619396234756952,0.07619396234756952
V235,0.07619366563521314,0.07619366563521314
V10,-0.07465802934887295,0.07465802934887295
V281,0.07262721128140003,0.07262721128140003
V62,0.07239883344940634,0.07239883344940634
D10,-0.07200190861826147,0.07200190861826147
V11,-0.07194973041245188,0.07194973041245188
V36,-0.06987475318173834,0.06987475318173834
id_32,0.0697016779771361,0.0697016779771361
V83,0.06915472593125409,0.06915472593125409
V169,0.06810293439986598,0.06810293439986598
D4,-0.06721630255951212,0.06721630255951212
D1,-0.06719305903571028,0.06719305903571028
D5,-0.06463762954147699,0.06463762954147699
V150,-0.06396456514351563,0.06396456514351563
id_21,0.06354388003380951,0.06354388003380951
V251,0.06334827593073726,0.06334827593073726
V159,-0.0626603908681699,0.0626603908681699
V160,-0.06233829744594949,0.06233829744594949
V145,-0.061964036666447085,0.061964036666447085
id_20,0.061596513428231144,0.061596513428231144
V56,0.06135614794277001,0.06135614794277001
V109,0.060994001066503024,0.060994001066503024
V151,-0.06086801752139531,0.06086801752139531
id_04,-0.05970132128618378,0.05970132128618378
D13,-0.05943039213973745,0.05943039213973745
V152,-0.05915385931556782,0.05915385931556782
id_08,-0.057488772272331935,0.057488772272331935
id_14,0.05732373315481929,0.05732373315481929
D6,-0.0572355790334387,0.0572355790334387
V115,0.05710820737635103,0.05710820737635103
