feature,ks_train_test,train_mean,test_mean,mean_delta,train_missing_pct,test_missing_pct
DT_month_proxy,1.0,2.349584,9.89138,7.541796,0.0,0.0
TransactionDT,1.0,7369693.290368,26928421.443952,19558728.153584003,0.0,0.0
DT_week,1.0,11.69892,44.015764,32.316843999999996,0.0,0.0
DT_day,1.0,84.681988,311.124996,226.44300800000002,0.0,0.0
V59,0.12640000000000007,0.1345359981060028,0.2669079899787903,0.13237199187278748,13.055169844549056,2.5457330009808743
V60,0.12517199999999995,0.14258000254631042,0.2793639898300171,0.13678398728370667,13.055169844549056,2.5457330009808743
V18,0.12437999999999994,0.13517999649047852,0.26141199469566345,0.12623199820518494,12.881938564703491,2.484551728765658
V17,0.12353999999999998,0.13366000354290009,0.2594519853591919,0.1257919818162918,12.881938564703491,2.484551728765658
V64,0.1229880000000001,0.141292005777359,0.2799760103225708,0.1386840045452118,13.055169844549056,2.5457330009808743
V63,0.12248800000000004,0.13044799864292145,0.2569639980792999,0.12651599943637848,13.055169844549056,2.5457330009808743
D15,0.12212400000000001,164.60565185546875,206.13343811035156,41.52778625488281,15.09008703898127,2.381925078598199
V81,0.12212,0.15209199488162994,0.2861039936542511,0.13401199877262115,15.098723202492634,2.3842933859097557
V40,0.12181200000000003,0.17749199271202087,0.3125840127468109,0.13509202003479004,28.612625732380533,15.16782417686519
V39,0.12127999999999994,0.16603200137615204,0.29264798760414124,0.1266159862279892,28.612625732380533,15.16782417686519
V80,0.12116000000000005,0.14327199757099152,0.26988399028778076,0.12661199271678925,15.098723202492634,2.3842933859097557
D11,0.121,146.59176635742188,218.27561950683594,71.68385314941406,47.29349409015477,34.837405835114495
V21,0.11929600000000007,0.1297760009765625,0.2504119873046875,0.120635986328125,12.881938564703491,2.484551728765658
V22,0.11851999999999996,0.13206399977207184,0.25342801213264465,0.12136401236057281,12.881938564703491,2.484551728765658
V85,0.11827200000000004,0.149399995803833,0.28013598918914795,0.13073599338531494,15.098723202492634,2.3842933859097557
