window_type,window,rows,fraud_rate,pr_base_rate,amt_mean,amt_median,identity_coverage
DT_week,0,23810,0.028055438891222174,0.028055438891222174,129.36055,68.95,0.25707685846283074
DT_week,1,27803,0.026148257382296876,0.026148257382296876,127.70855,68.5,0.39448980325864114
DT_week,2,34470,0.025500435161009572,0.025500435161009572,131.41753,77.0,0.48549463301421525
DT_week,3,37251,0.018522992671337682,0.018522992671337682,120.70285,77.0,0.5626694585380259
DT_week,4,24041,0.03822636329603594,0.03822636329603594,133.61531,67.95,0.2536916101659665
DT_week,5,21868,0.03832083409548198,0.03832083409548198,135.19469,59.0,0.1962685202121822
DT_week,6,20392,0.038593566104354646,0.038593566104354646,135.83366,67.95,0.15108866222047862
DT_week,7,20025,0.04119850187265917,0.04119850187265917,134.52707,59.524,0.17053682896379527
DT_week,8,20246,0.04553985972537785,0.04553985972537785,141.51193,59.0,0.1868023313247061
DT_week,9,23596,0.042973385319545684,0.042973385319545684,136.20706,67.95,0.16646889303271742
DT_week,10,20860,0.04314477468839885,0.04314477468839885,135.45961,59.0,0.2211888782358581
DT_week,11,19831,0.03454187887650648,0.03454187887650648,129.87355,59.0,0.19701477484746105
DT_week,12,21734,0.03901720806110242,0.03901720806110242,152.27977,78.427505,0.17415109965951964
DT_week,13,27770,0.03366942743968311,0.03366942743968311,145.27513,77.95,0.13874684911775298
DT_week,14,21901,0.03264691109994977,0.03264691109994977,137.85638,71.95,0.16994657778183644
DT_week,15,20700,0.0414975845410628,0.0414975845410628,137.87538,67.95,0.2014009661835749
DT_week,16,21003,0.05061181735942485,0.05061181735942485,132.81752,64.77,0.2407751273627577
DT_week,17,23824,0.0367696440564137,0.0367696440564137,137.43759,75.0,0.18347044996642042
DT_week,18,19622,0.03531750076444807,0.03531750076444807,130.55916,67.95,0.1794414432779533
DT_week,19,18630,0.0345679012345679,0.0345679012345679,132.31984,59.0,0.1856682769726248
DT_week,20,18460,0.03591549295774648,0.03591549295774648,137.53873,67.95,0.17307692307692307
DT_week,21,20378,0.031651781332809895,0.031651781332809895,140.68239,70.702,0.17141034448915496
DT_week,22,20740,0.02849566055930569,0.02849566055930569,136.16747,67.95,0.17791706846673094
DT_week,23,20944,0.032515278838808254,0.032515278838808254,132.89455,68.5,0.2610294117647059
DT_week,24,20206,0.03667227556171434,0.03667227556171434,135.15657,68.95,0.23463327724438285
DT_week,25,17681,0.04162660483004355,0.04162660483004355,138.27367,67.95,0.18675414286522254
DT_week,26,2754,0.043209876543209874,0.043209876543209874,171.45963,77.95,0.18373275236020334
DT_month_proxy,0,130968,0.024761773868425874,0.024761773868425874,127.94623,75.0,0.43613707165109034
DT_month_proxy,1,89838,0.040372670807453416,0.040372670807453416,133.46875,60.0,0.18610164963601147
DT_month_proxy,2,91768,0.040319065469444686,0.040319065469444686,139.18968,67.9315,0.1888239909336588
DT_month_proxy,3,98027,0.03926469238067063,0.03926469238067063,139.95685,72.0,0.18576514633723362
DT_month_proxy,4,85303,0.03472328054112985,0.03472328054112985,135.05095,67.95,0.17720361534764312
DT_month_proxy,5,86525,0.03401329095637099,0.03401329095637099,135.02121,67.95,0.2111412886449003
DT_month_proxy,6,8111,0.0417950930834669,0.0417950930834669,159.76456,77.0,0.181358648748613
