window_days,period_index,rows,fraud_rate,identity_missing,first_day,last_day,mid_day
1,0,5122,0.021866458414681766,0.8074970714564623,0,0,0.0
1,1,3730,0.032975871313672925,0.7734584450402144,1,1,1.0
1,2,3241,0.028386300524529465,0.7238506633755014,2,2,2.0
1,3,4036,0.028493557978196235,0.7502477700693756,3,3,3.0
1,4,3964,0.03203834510595358,0.7030776992936427,4,4,4.0
1,5,3717,0.026634382566585957,0.6744686575195049,5,5,5.0
1,6,3786,0.03592181722134179,0.6376122556788166,6,6,6.0
1,7,3999,0.023255813953488372,0.6491622905726432,7,7,7.0
1,8,3907,0.030458152034809317,0.6160737138469414,8,8,8.0
1,9,3445,0.026124818577648767,0.5889695210449928,9,9,9.0
1,10,4319,0.02847881454040287,0.5827737902292197,10,10,10.0
1,11,4164,0.020172910662824207,0.585254562920269,11,11,11.0
1,12,4183,0.01960315562993067,0.5821180970595267,12,12,12.0
1,13,4446,0.02834008097165992,0.5782726045883941,13,13,13.0
1,14,5034,0.02840683353198252,0.559197457290425,14,14,14.0
1,15,4325,0.016184971098265895,0.5336416184971098,15,15,15.0
1,16,3805,0.033114323258869906,0.5161629434954007,16,16,16.0
1,17,5585,0.0288272157564906,0.49937332139659807,17,17,17.0
1,18,5526,0.021353601158161418,0.47955121245023524,18,18,18.0
1,19,5749,0.02348234475560967,0.45886241085406154,19,19,19.0
1,20,5677,0.020433327461687512,0.458516822265281,20,20,20.0
1,21,6852,0.021453590192644482,0.44337419731465266,21,21,21.0
1,22,5872,0.018051771117166212,0.4431198910081744,22,22,22.0
1,23,6065,0.012530915086562242,0.3734542456718879,23,23,23.0
1,24,5742,0.0109717868338558,0.27586206896551724,24,24,24.0
1,25,3458,0.02371312897628687,0.5610179294389821,25,25,25.0
1,26,3585,0.02789400278940028,0.6301255230125523,26,26,26.0
1,27,3332,0.045018007202881155,0.6572629051620649,27,27,27.0
1,28,4302,0.0299860529986053,0.7224546722454672,28,28,28.0
1,29,3371,0.04687036487689113,0.7211509937703946,29,29,29.0
1,30,2982,0.0499664654594232,0.7323943661971831,30,30,30.0
1,31,2387,0.0213657310431504,0.7624633431085044,31,31,31.0
1,32,3403,0.03614457831325301,0.7740229209521011,32,32,32.0
1,33,4264,0.037288930581613505,0.8384146341463414,33,33,33.0
1,34,3830,0.031331592689295036,0.7994778067885118,34,34,34.0
1,35,3571,0.03780453654438533,0.7787734528143377,35,35,35.0
1,36,3030,0.041584158415841586,0.7960396039603961,36,36,36.0
1,37,2544,0.04323899371069182,0.7952044025157232,37,37,37.0
1,38,3017,0.038780245276765,0.8074245939675174,38,38,38.0
1,39,2914,0.03740562800274537,0.8280713795470144,39,39,39.0
1,40,2962,0.04085077650236327,0.8268062120189061,40,40,40.0
1,41,2881,0.02950364456785838,0.8927455744533148,41,41,41.0
1,42,3606,0.044370493621741544,0.8391569606211869,42,42,42.0
1,43,2786,0.04271356783919598,0.8352476669059583,43,43,43.0
