month_relative,feature,missing_rate,rows
1,TransactionAmt,0.0,134339
1,ProductCD,0.0,134339
1,card1,0.0,134339
1,card2,0.013465933198847691,134339
1,card3,2.233156417719352e-05,134339
1,card4,5.955083780584938e-05,134339
1,card5,0.005441457804509487,134339
1,card6,5.210698308011821e-05,134339
1,addr1,0.10463826587960309,134339
1,addr2,0.10463826587960309,134339
1,dist1,0.7011590081807964,134339
1,dist2,0.9126314770840932,134339
1,P_emaildomain,0.14687469759340177,134339
1,R_emaildomain,0.6175645196108352,134339
1,C1,0.0,134339
1,C2,0.0,134339
1,C3,0.0,134339
1,C4,0.0,134339
1,C5,0.0,134339
1,C6,0.0,134339
1,C7,0.0,134339
1,C8,0.0,134339
1,C9,0.0,134339
1,C10,0.0,134339
1,C11,0.0,134339
1,C12,0.0,134339
1,C13,0.0,134339
1,C14,0.0,134339
1,D1,0.0,134339
1,D2,0.5868213995935655,134339
1,D3,0.5775835758789332,134339
1,D4,0.4563678455251267,134339
1,D5,0.6528409471560753,134339
1,D6,0.8618867194187838,134339
1,D7,0.9347546133289663,134339
1,D8,0.7817833987151906,134339
1,D9,0.7817833987151906,134339
1,D10,0.31349794177416834,134339
1,D11,0.7126895391509539,134339
1,D12,0.884865898957116,134339
1,D13,0.8964187614914507,134339
1,D14,0.8812035224320562,134339
1,D15,0.3367376562279011,134339
1,M1,0.6928144470332517,134339
1,M2,0.6928144470332517,134339
1,M3,0.6928144470332517,134339
1,M4,0.5762139066093986,134339
1,M5,0.6969904495343869,134339
1,M6,0.4729155345804271,134339
1,M7,0.844520206343653,134339
1,M8,0.844520206343653,134339
1,M9,0.844520206343653,134339
1,V1,0.7126895391509539,134339
1,V2,0.7126895391509539,134339
1,V3,0.7126895391509539,134339
1,V4,0.7126895391509539,134339
1,V5,0.7126895391509539,134339
1,V6,0.7126895391509539,134339
1,V7,0.7126895391509539,134339
1,V8,0.7126895391509539,134339
1,V9,0.7126895391509539,134339
1,V10,0.7126895391509539,134339
1,V11,0.7126895391509539,134339
1,V12,0.3135649364666999,134339
1,V13,0.3135649364666999,134339
1,V14,0.3135649364666999,134339
1,V15,0.3135649364666999,134339
1,V16,0.3135649364666999,134339
1,V17,0.3135649364666999,134339
1,V18,0.3135649364666999,134339
1,V19,0.3135649364666999,134339
1,V20,0.3135649364666999,134339
1,V21,0.3135649364666999,134339
1,V22,0.3135649364666999,134339
1,V23,0.3135649364666999,134339
1,V24,0.3135649364666999,134339
1,V25,0.3135649364666999,134339
1,V26,0.3135649364666999,134339
1,V27,0.3135649364666999,134339
1,V28,0.3135649364666999,134339
1,V29,0.3135649364666999,134339
1,V30,0.3135649364666999,134339
1,V31,0.3135649364666999,134339
